plot number,plot,date,treatment,field,predator,scavenger,herbivore,scavengernoants,percentpred,percentscav,percentherb,antcolony
29,29J,9/21/16,control,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
30,30J,7/20/16,na,stony.ridge,2,0,1,0,0.666666667,0,0.333333333,0
30,30J,7/27/16,na,stony.ridge,7,4,1,2,0.7,0.2,0.1,0
30,30J,8/3/16,na,stony.ridge,4,0,2,0,0.666666667,0,0.333333333,0
30,30J,9/21/16,na,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
31,31J,7/20/16,corn,stony.ridge,8,5,0,5,0.615384615,0.384615385,0,0
31,31J,7/27/16,corn,stony.ridge,6,5,0,5,0.545454545,0.454545455,0,0
31,31J,8/3/16,corn,stony.ridge,10,5,2,5,0.588235294,0.294117647,0.117647059,0
31,31J,9/21/16,corn,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
32,32J,7/20/16,both,stony.ridge,5,1,2,0,0.714285714,0,0.285714286,0
32,32J,7/27/16,both,stony.ridge,5,1,0,1,0.833333333,0.166666667,0,0
32,32J,8/3/16,both,stony.ridge,7,3,0,2,0.777777778,0.222222222,0,0
32,32J,9/21/16,both,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
33,33J,7/20/16,control,stony.ridge,6,1,0,1,0.857142857,0.142857143,0,0
33,33J,7/27/16,control,stony.ridge,6,0,0,0,1,0,0,0
33,33J,8/3/16,control,stony.ridge,1,0,0,0,1,0,0,0
33,33J,9/21/16,control,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
34,34J,7/20/16,na,stony.ridge,8,0,1,0,0.888888889,0,0.111111111,0
34,34J,7/27/16,na,stony.ridge,2,0,0,0,1,0,0,0
34,34J,8/3/16,na,stony.ridge,3,4,1,4,0.375,0.5,0.125,0
34,34J,9/21/16,na,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
